domain,type,score
pib.gov.in,govt,100
mohfw.gov.in,govt,100
eci.gov.in,govt,100
mygov.in,govt,95
india.gov.in,govt,95
who.int,health_authority,100
cdc.gov,health_authority,100
nih.gov,health_authority,100
afp.com,factcheck,95
factcheck.org,factcheck,95
snopes.com,factcheck,95
altnews.in,factcheck,95
boomlive.in,factcheck,95
thequint.com,factcheck,90
vishvasnews.com,factcheck,90
newschecker.in,factcheck,90
bbc.com,news,85
reuters.com,news,85
apnews.com,news,85
theguardian.com,news,85
npr.org,news,80
thehindu.com,news,85
indianexpress.com,news,85
hindustantimes.com,news,80
ndtv.com,news,80
timesofindia.com,news,80
livemint.com,news,75
scroll.in,news,75
thewire.in,news,75
news18.com,news,70
wikipedia.org,reference,70
